,source_sentence,human,time,location,label,augmentation
19,"Bernardo de"" Rossi fled to Parma in 1524, and died a few years later, perhaps poisoned by his nephews Giovan Girlamo and Bertrando.",Giovan Girlamo,a few years later,Parma,die,"Fleeing to Parma in 1524, Bernardo de"" Rossi died a few years later, perhaps poisoned by his nephews Giovan Girlamo and Bertrando."
20,He then returned to Bloemfontein and in 1904 he began practicing as an advocate.,he,1904,Bloemfontein,start position,"Returning to Bloemfontein, he began practicing as an advocate in 1904."
21,"When she was eight, in 1979, her mother married a Norwegian and they moved to Volda in Norway.",she,eight,Volda,go to,"When she was eight, her mother married a Norwegian in 1979, and they moved to Volda in Norway."
22,Clementine accompanied him in the following years on his professional travels in Europe and the United States.,Clementine,the following years,Europe,go to,"In the following years, Clementine accompanied him on his professional travels in Europe and the United States."
23,"During his last years, he lived and worked in Gnesta outside Stockholm.",he,his last years,Gnesta,settlement,"Living and working in Gnesta outside Stockholm, he spent his last years there."
24,He was born on 17 May 1918 in Grenada and was educated at the Grenada Boys Grammar School.,He,17 May 1918,Grenada,birth,"Born on 17 May 1918 in Grenada, he was educated at the Grenada Boys Grammar School."
25,"Spanish sources indicate that Diego García was born in Moguer in 1484 (or 1496), but there are Portuguese sources say he was born in Lisbon.",Diego García,1484,Moguer,birth,"According to Spanish sources, Diego García was born in Moguer in 1484 (or 1496), while Portuguese sources claim he was born in Lisbon."
26,"Bosse Broberg (born September 6, 1937, Ludvika) is a Swedish jazz trumpeter and composer.",Bosse Broberg,"September 6, 1937",Ludvika,birth,"Swedish jazz trumpeter and composer Bosse Broberg was born on September 6, 1937, in Ludvika."
27,"In 1327, after the death of his guru Yönden Gyantso, Dölpopa decided to fulfill a prayer he had made at the great stupa at Trophu (Khro phu) to repay his master""s kindness.",Dölpopa,1327,Trophu,ceremony,"In 1327, after the death of his guru Yönden Gyantso, Dölpopa decided to fulfill a prayer he had made at the great stupa at Trophu (Khro phu) to repay his master""s kindness."
28,"Vušković studied visual arts in Belgrade (1920–1922) and Vienna, where he graduated in 1924.",he,1924,Belgrade,education,Vušković studied visual arts in Belgrade from 1920 to 1922 and graduated in Vienna in 1924.
29,"Lyons was born in Clovis, New Mexico and graduated from Clovis High School in 1972.",Lyons,1972,Clovis,education,"Born in Clovis, New Mexico, Lyons graduated from Clovis High School in 1972."
30,"In 1921 in Newport, Monmouthshire, J. Harold Sheldon married Marjorie Bannister.",J. Harold Sheldon,1921,Newport,marry,"J. Harold Sheldon married Marjorie Bannister in Newport, Monmouthshire in 1921."
31,Gwyneth Rees was born in Leicester in 1968.,Gwyneth Rees,1968,Leicester,birth,Gwyneth Rees was born in Leicester in 1968.
32,"On July 23, 1873, she married Charles B. Tiernan, of Baltimore.",she,"July 23, 1873",Baltimore,marry,"On July 23, 1873, she married Charles B. Tiernan, of Baltimore."
33,"He competed at the Mediterranean Games in 1951 where he won a silver medal in the team sabre event and bronze medals in the épée and foil events, and in 1955, where he won bronze medals in the sabre, épée and foil team events.",he,1951,Mediterranean Games,competition,"He won a silver medal in the team sabre event and bronze medals in the épée and foil events at the Mediterranean Games in 1951, and in 1955, he won bronze medals in the sabre, épée and foil team events."
34,"After graduating high school in Michigan, Joslyn enrolled at the University of California, Berkeley where he earned a B.S. in 1926 and a M.S. in 1928.",Joslyn,1926,Michigan,education,"After graduating high school in Michigan, Joslyn enrolled at the University of California, Berkeley where he earned a B.S. in 1926 and a M.S. in 1928."
35,"The custody of Anna was a problem; in 1935 Silvia took refuge with Anna in the Soviet consulate in Shanghai, where they were living at the time because Francisco Giannini was trying to obtain custody of the child.",Anna,1935,Shanghai,settlement,"In 1935 Silvia took refuge with Anna in the Soviet consulate in Shanghai, where they were living at the time because Francisco Giannini was trying to obtain custody of the child."
36,"Bryony Elisabeth Shaw (born 28 April 1983, Wandsworth) is a British Olympic windsurfer.",Bryony Elisabeth Shaw,28 April 1983,Wandsworth,birth,"Bryony Elisabeth Shaw (born 28 April 1983, Wandsworth) is a British Olympic windsurfer."
37,"By 1611, a new town of eighty houses had been established at Bangor, where Hamilton lived.",Hamilton,1611,Bangor,settlement,"By 1611, a new town of eighty houses had been established at Bangor, where Hamilton lived."
38,João Mouzinho de Albuquerque (21 February 1797 in Leiria – 8 August 1881 in Portalegre) was a Portuguese writer and administrator.,João Mouzinho de Albuquerque,21 February 1797,Leiria,birth,João Mouzinho de Albuquerque (21 February 1797 in Leiria – 8 August 1881 in Portalegre) was a Portuguese writer and administrator.
39,"At the age of 12, she was discovered by a talent scout in Los Angeles Park and began her modeling career.",she,12,Los Angeles Park,start position,"At the age of 12, she was discovered by a talent scout in Los Angeles Park and began her modeling career."
40,"Between 1896 and 1906, Cox was employed at the San Antonio Academy as instructor and vice-principal, and instructor in history at the University of Cincinnati, where he was afterward assistant professor.",he,Between 1896 and 1906,San Antonio Academy,position held,"Between 1896 and 1906, Cox worked at the San Antonio Academy as an instructor and vice-principal, and as an instructor in history at the University of Cincinnati, where he later became an assistant professor."
41,"Rowland Perkins was born on July 10, 1934 in Los Angeles, California.",Rowland Perkins,"July 10, 1934",California,birth,"Rowland Perkins was born on July 10, 1934 in Los Angeles, California."
42,"Between 1832 and 1833, D""Oyly took leave at the Cape of Good Hope, returning to Calcutta to become the Senior Member of the Board of Customs, Salt, Opium and of the Marine.","D""Oyly",Between 1832 and 1833,Calcutta,position held,"Between 1832 and 1833, D""Oyly took leave at the Cape of Good Hope, then returned to Calcutta to become the Senior Member of the Board of Customs, Salt, Opium and of the Marine."
43,He moved to Edinburgh in 1803 and had premises at 4 North College Street.,He,1803,Edinburgh,settlement,He relocated to Edinburgh in 1803 and established premises at 4 North College Street.
44,"In 2017 tour South America and Europe with Temple, this time featuring Ronnie Romero from Rainbow.",Ronnie Romero,2017,Europe,performance,"In 2017, Temple toured South America and Europe, this time featuring Ronnie Romero from Rainbow."
45,"He lived in Surbiton, Surrey (south-west London) for most of his adult life, but moved to Norwich, Norfolk, in 2005 to live with his elder daughter and son-in-law, when his health became frail.",He,2005,Surbiton,settlement,"He resided in Surbiton, Surrey (south-west London) for most of his adult life, but in 2005, he moved to Norwich, Norfolk, to live with his elder daughter and son-in-law, when his health became frail."
46,"From late 1997 until early 1999, she worked as an entertainment reporter for WGN-TV in Chicago.",she,late 1997,Chicago,position held,"From late 1997 until early 1999, she was employed as an entertainment reporter for WGN-TV in Chicago."
47,"In 1757 at Tiverton he married Margaret Newton (died 1803), second daughter and co-heiress of John Newton of Tiverton.",John Newton,1803,Tiverton,die,"In 1757 at Tiverton, he married Margaret Newton (died 1803), the second daughter and co-heiress of John Newton of Tiverton."
48,His family came to Brisbane in 1874 and he attended the Kangaroo Point State School and began his work life as a telegraph messenger.,he,1874,Kangaroo Point State School,start position,"His family arrived in Brisbane in 1874 and he attended the Kangaroo Point State School, beginning his work life as a telegraph messenger."
49,"first wife, Eva Eriksson, whom he married August 15, 1882, died August 3, 1892 of cholera in Tabris, Persia.",Eva Eriksson,"August 15, 1882",Tabris,die,"His first wife, Eva Eriksson, whom he married on August 15, 1882, died on August 3, 1892 of cholera in Tabris, Persia."
50,"Bedford died in 1972, prior to his death he marked his own grave in Gangawaraliya Estate.",he,1972,Gangawaraliya Estate,die,"Bedford passed away in 1972, before his death he designated his own grave in Gangawaraliya Estate."
51,"In 1902 Vincent and his young bride returned to England, where he took up the Rectorship of the parish of Clapham, remaining there until 1906.But",Vincent,1902,England,position held,"In 1902 Vincent and his young wife came back to England, where he assumed the Rectorship of the parish of Clapham, staying there until 1906.But"
52,"After finishing the school in 1950 he performed in Tbilisi""s Griboedov Russian Drama Theatre, in 1956 in Kiev""s Lesya Ukrainka National Academic Theater of Russian Drama.",he,1950,Tbilisi,performance,"After completing the school in 1950 he acted in Tbilisi""s Griboedov Russian Drama Theatre, in 1956 in Kiev""s Lesya Ukrainka National Academic Theater of Russian Drama."
53,"He later married Lois Girard, had three children, and moved to California to work in the airline industry.  He died in 1966.",He,1966,California,die,"He later wed Lois Girard, had three kids, and relocated to California to work in the airline industry. He passed away in 1966."
54,"On 2 February 1997, Leyton died in Corona del Mar, California.",Leyton,2 February 1997,California,die,"On 2 February 1997, Leyton passed away in Corona del Mar, California."
55,She matriculated at the University of Edinburgh in 1925.,She,1925,University of Edinburgh,education,She enrolled at the University of Edinburgh in 1925.
56,"In the 1860s, Pool moved to Virginia.",Pool,the 1860s,Virginia,go to,"In the 1860s, Pool relocated to Virginia."
57,He went on to earn a Ph.D. in political science from Harvard in 1968.,He,1968,Harvard,education,He proceeded to obtain a Ph.D. in political science from Harvard in 1968.
58,He moved to Vienna in 1924 where he joined the Kolisch Quartet.,He,1924,Vienna,settlement,He relocated to Vienna in 1924 where he joined the Kolisch Quartet.
59,In June 2018 she was awarded an Honorary Doctorate of Humane Letters from Savannah College of Art & Design.,she,June 2018,Savannah College of Art & Design,education,In June 2018 she received an Honorary Doctorate of Humane Letters from Savannah College of Art & Design.
60,"When he returned to Amsterdam in June 1945 he was given Anne""s diaries by Miep Gies (who had saved parts of them, just like the younger secretary Bep Voskuijl), which he published in 1947 as a remembrance to her.",Miep Gies,1947,Amsterdam,meet,"Upon his return to Amsterdam in June 1945, Miep Gies (who had saved parts of them, just like the younger secretary Bep Voskuijl) gave him Anne""s diaries, which he published in 1947 as a remembrance to her."
61,"Farrakhan visited Turkey at invitation on February 18, 1996 and met with the country""s leading Islamist political figure, Necmettin Erbakan, and his Welfare Party""s officials.",Farrakhan,"February 18, 1996",Turkey,meet,"At the invitation, Farrakhan visited Turkey on February 18, 1996 and met with the country""s leading Islamist political figure, Necmettin Erbakan, and his Welfare Party""s officials."
62,"In 1981, she moved to WABC-TV in New York City.",she,1981,New York City,go to,She relocated to WABC-TV in New York City in 1981.
63,Bormann returned with Hitler to the Führerbunker in Berlin on 16 January 1945 as the Red Army approached the city.,Hitler,16 January 1945,Führerbunker,go to,"On 16 January 1945, Bormann returned with Hitler to the Führerbunker in Berlin as the Red Army approached the city."
64,"Guthrie was born in Pittsburgh, Pennsylvania, in 1969, where he attended Franklin Regional and Taylor Allderdice High Schools.",he,1969,Pittsburgh,birth,"Guthrie, who was born in Pittsburgh, Pennsylvania, in 1969, attended Franklin Regional and Taylor Allderdice High Schools."
65,"In 1953, he earned a law degree from Southern University.",he,1953,Southern University,education,Upon earning a law degree from Southern University in 1953.
66,"That year, Su Jun marched south from Linhuai to join Emperor Ming of Jin""s loyalist coalition against the rebel Wang Dun.",Su Jun,That year,Linhuai,military action,"That year, Su Jun marched south from Linhuai to join Emperor Ming of Jin""s loyalist coalition against the rebel Wang Dun."
67,"In 1988, Brown became an investigator of the Howard Hughes Medical Institute and an assistant professor in the Department of Biochemistry at Stanford University School of Medicine, where he continued to investigate retroviral replication.",he,1988,Howard Hughes Medical Institute,start position,"In 1988, Brown became an investigator of the Howard Hughes Medical Institute and an assistant professor in the Department of Biochemistry at Stanford University School of Medicine, where he continued to investigate retroviral replication."
68,"In April 1946, Lammers was a defense witness at the trial before the International Military Tribunal in Nuremberg.",Lammers,April 1946,Nuremberg,testify,Lammers was a defense witness at the trial before the International Military Tribunal in Nuremberg in April 1946.
69,"Nothing more than a third-string player for the club, Sánchez would be loaned from 2004 to 2006, spending two seasons in the Segunda División with Polideportivo Ejido and UD Almería, both in Andalusia, where he also featured very rarely.",Sánchez,2004 to 2006,Andalusia,competition,"Sánchez, nothing more than a third-string player for the club, would be loaned from 2004 to 2006, spending two seasons in the Segunda División with Polideportivo Ejido and UD Almería, both in Andalusia, where he also featured very rarely."
70,"The defender was one of the first Italian to play in Eastern Europe, specifically in Russia with Uralan Elista in 2003.",Uralan Elista,2003,Russia,competition,"The defender was among the earliest Italians to play in Eastern Europe, specifically in Russia with Uralan Elista in 2003."
71,"In January 1935 he was appointed to the Prussian Provincial Council for Hesse-Nassau, serving through the end of the Nazi regime in 1945.On 1 July 1937, when he relinquished his position as Second Bürgermeister of Frankfurt, Linder was again appointed Deputy Gauleiter of Gau Hesse-Nassau.",Linder,1 July 1937,Frankfurt,end position,"In January 1935 he was appointed to the Prussian Provincial Council for Hesse-Nassau, serving through the end of the Nazi regime in 1945. On 1 July 1937, when he relinquished his position as Second Bürgermeister of Frankfurt, Linder was again appointed Deputy Gauleiter of Gau Hesse-Nassau."
72,"He married Lucy Gazzam of Seattle, Washington in Mobile, Alabama in 1898 and had five children.",He,1898,Seattle,marry,"He married Lucy Gazzam of Seattle, Washington in Mobile, Alabama in 1898 and had five children."
73,"In 1994, Bey ran unsuccessfully for mayor of Oakland, California.",Bey,1994,Oakland,campaign,"In 1994, Bey ran unsuccessfully for mayor of Oakland, California."
74,"Cohen graduated from Brandeis University in 1964, where he majored in history.",Cohen,1964,Brandeis University,education,"Cohen graduated from Brandeis University in 1964, where he majored in history."
75,"After being released, James moved to California, where he started a variety of rock and funk groups in the late 1960s and early 1970s.",he,late 1960s,California,start org,"After being released, James moved to California, where he formed a variety of rock and funk groups in the late 1960s and early 1970s."
76,John Béchervaise returned to the Antarctic on MV Nanok S on her first trip south with ANARE in the summer of 1979–80 which also carried a large contingent of naval personnel.,John Béchervaise,the summer of 1979–80 which also carried,Antarctic,go to,John Béchervaise returned to the Antarctic on MV Nanok S on her first trip south with ANARE in the summer of 1979–80 which also carried a large contingent of naval personnel.
77,"He sailed back to France that summer, to marry his first wife, Madeleine, whom he had met in Iowa, where she was also on a Fulbright; they settled in Herbert Street, Dublin, a few doors down from Brendan Behan.",Madeleine,that summer,France,marry,"He sailed back to France that summer, to marry his first wife, Madeleine, whom he had met in Iowa, where she was also on a Fulbright; they settled in Herbert Street, Dublin, a few doors down from Brendan Behan."
78,"It subsequently toured to Glasgow and Sorley""s birthplace, Aberdeen, in 2018.",Sorley,2018,Glasgow,performance,"It subsequently toured to Glasgow and Sorley""s birthplace, Aberdeen, in 2018."
79,"Fico first served as an ambassador to Turkey and Bulgaria in the late 1920s, before his time as Foreign Minister of Albania.",Fico,the late 1920s,Turkey,start position,"Fico first served as an ambassador to Turkey and Bulgaria in the late 1920s, before his time as Foreign Minister of Albania."
80,"He died in 1918, and is buried in Bayview Cemetery in Bellingham, Washington.",He,1918,Bellingham,die,"He died in 1918, and is buried in Bayview Cemetery in Bellingham, Washington."
81,"He fled Germany in 1933, first to Prague.",He,1933,Germany,leave from,"He passed away in 1918, and was laid to rest in Bayview Cemetery in Bellingham, Washington."
82,"Prior to settling in Litchfield, Burr lived in nearby Gardiner, Maine, where he served on the town""s school board from 1809 to 1810.
Burr was the youngest of twelve children by his parents Jonathan Burr and Martha (Cudworth) Burr.",he,1809 to 1810,Gardiner,position held,"He escaped Germany in 1933, initially heading to Prague."
83,"Aníbal Velásquez was born in 1936 in Barranquilla, Colombia to parents José Antonio Velásquez and Belén Hurtado, and is the brother of the musician José ""Cheíto"" Velásquez.",José Antonio Velásquez,1936,Barranquilla,give birth,"Before settling in Litchfield, Burr resided in nearby Gardiner, Maine, where he served on the town""s school board from 1809 to 1810. He was the youngest of twelve children by his parents Jonathan Burr and Martha (Cudworth) Burr."
84,"Macclesfield spent the next three years in Germany and the Netherlands, returning to England in the revolution of 1688.",Macclesfield,three years,Germany,settlement,"Aníbal Velásquez entered the world in 1936 in Barranquilla, Colombia to parents José Antonio Velásquez and Belén Hurtado, and is the brother of the musician José ""Cheíto"" Velásquez."
85,"The family moved to Salem, Oregon around 1912 where William worked various jobs including janitor, laborer, and farmer and by 1921 he was a shopkeeper on State Street.",William,1912,Salem,position held,"Macclesfield spent the following three years in Germany and the Netherlands, eventually returning to England in the revolution of 1688."
86,"In 1946, he also helped in leading the formation of the second/third Penang Clerical Union
Cheah died on 16 November 1948, aged 77, in his home, at Leith Street, Penang.",Cheah,16 November 1948,Penang,die,"The family relocated to Salem, Oregon around 1912 where William held various jobs including janitor, laborer, and farmer and by 1921 he was a shopkeeper on State Street."
87,By 1936 they had moved to the Bawdsey Manor Research Centre (on the North Sea coast) and had already begun plans for deployment of the CH system.,they,1936,Bawdsey Manor Research Centre,go to,"In 1946, he also played a key role in leading the formation of the second/third Penang Clerical Union. Cheah passed away on 16 November 1948, aged 77, in his home, at Leith Street, Penang."
88,"Leach was on the Classical Jury of the American Academy in Rome (1980–82), a Resident Scholar there (Fall 1983), and later conducted 3 NEH summer seminars there (1986, 1989, 2008).",Leach,Fall 1983,Rome,position held,By 1936 they had relocated to the Bawdsey Manor Research Centre (on the North Sea coast) and had already begun plans for deployment of the CH system.
89,"In 1768, in order to commemorate his great victories achieved against the Rao of Kutch, Ghulam Shah built a new capital which he named Hyderabad (in honour of Imam Ali whose birth name was Haider meaning Lion).",Ghulam Shah,1768,Kutch,creation,"Leach was on the Classical Jury of the American Academy in Rome (1980–82), a Resident Scholar there (Fall 1983), and later conducted 3 NEH summer seminars there (1986, 1989, 2008)."
90,"Bean was born in Westby, Wisconsin on January 5, 1987.",Bean,"January 5, 1987",Westby,birth,"Bean's birthplace is Westby, Wisconsin on January 5, 1987."
91,After spending Christmas with her family in Xolobe she left for Johannesburg in January 1940.,she,Christmas,Xolobe,stay,"After spending Christmas with her family in Xolobe, she departed for Johannesburg in January 1940."
92,After leaving Cambridge in 1663 he spent some time travelling both in Britain and the continent.,he,1663,Cambridge,leave from,"After departing Cambridge in 1663, he spent some time traveling both in Britain and the continent."
93,"In 1477, the Yatenga emperor Nasséré makes yet another Mossi raid into Macina, this time conquering it and the old province of BaGhana (Wagadou).",Nasséré,1477,Macina,military action,"In 1477, the Yatenga emperor Nasséré makes yet another Mossi raid into Macina, this time conquering it and the old province of BaGhana (Wagadou)."
94,Thomas W. came to the Rondout area in 1822 and opened a general store in New Salem.,Thomas W.,1822,Rondout,start org,Thomas W. arrived in the Rondout area in 1822 and established a general store in New Salem.
95,"She attended the Third International Socialist Women""s Conference held at Berne March 26–28, 1915, where she encountered Lenin""s manipulation of the Bolshevik Women""s delegation and took a dislike to Karl Radek who was acting as Lenin""s aid.",She,"March 26–28, 1915",Berne,assembly,"She attended the Third International Socialist Women""s Conference held at Berne from March 26–28, 1915, where she encountered Lenin""s manipulation of the Bolshevik Women""s delegation and took a dislike to Karl Radek who was acting as Lenin""s aid."
96,"In 2010 Journal Globus proclaimed her as one of the leaders of Croatian film (together with Daria Lorenci, Zrinka Cvitešić, Leona Paraminski, Nataša Janjić and Jadranka Đokić).At 61st International Film Festival in Berlin, she was officially awarded this recognition.",Zrinka Cvitešić,2010,Berlin,ceremony,"In 2010 Journal Globus proclaimed her as one of the leaders of Croatian film (together with Daria Lorenci, Zrinka Cvitešić, Leona Paraminski, Nataša Janjić and Jadranka Đokić).At 61st International Film Festival in Berlin, she was officially awarded this recognition."
97,He was elected as a member of Kerala Legislative Assembly from Manjeshwaram on 24 October 2019.,He,24 October 2019,Manjeshwaram,start position,He was elected as a member of Kerala Legislative Assembly from Manjeshwaram on 24 October 2019.
98,"They moved to Monaco in 1945 where she died, leaving her Australian assets, valued at around £240,000, to the University of Melbourne.",she,1945,Monaco,go to,"They relocated to Monaco in 1945 where she passed away, leaving her Australian assets, valued at around £240,000, to the University of Melbourne."
99,"In May 2010, Rinzin Dorji went to New York on invitation from Ynaar to qualify for the New York City Marathon, which he succeeded.",Rinzin Dorji,May 2010,New York,competition,"In May 2010, Rinzin Dorji traveled to New York on invitation from Ynaar to qualify for the New York City Marathon, which he succeeded."
100,"A few months after de la Huerta""s death, Alvarado was ambushed while fleeing from Obregón""s force at El Hormiguero ranchero, between Tenosique, Tabasco and Palenque, Chiapas and was killed on 10 June 1924.",Alvarado,10 June 1924,Tenosique,die,"A few months after de la Huerta""s death, Alvarado was attacked while trying to escape from Obregón""s force at El Hormiguero ranchero, between Tenosique, Tabasco and Palenque, Chiapas and was killed on 10 June 1924."
101,"According to contemporary press accounts, Fleetwood did not find travel to Washington and back and the routine of a representative to his liking, and he announced in May 1924 that he would not be a candidate for renomination.",Fleetwood,May 1924,Washington,end position,"According to contemporary press accounts, Fleetwood did not enjoy traveling to Washington and back and the routine of a representative, and he announced in May 1924 that he would not be a candidate for renomination."
102,"Born in Kalundborg, Rørup studied at the Royal Danish Academy of Fine Arts under Ejnar Nielsen and Sigurd Wandel, graduating in 1930.",Rørup,1930,Kalundborg,education,"Born in Kalundborg, Rørup studied at the Royal Danish Academy of Fine Arts under Ejnar Nielsen and Sigurd Wandel, and graduated in 1930."
103,"When she was 18, she entered the Royal Danish Academy of Music, studying under the tenor Thyge Thygesen.",Thyge Thygesen,18,Royal Danish Academy of Music,education,"When she was 18, she enrolled in the Royal Danish Academy of Music, studying under the tenor Thyge Thygesen."
104,"He had married in 1838 Elizabeth Selina, daughter of Hugh Kennedy of Cultra, co. Down.",Hugh Kennedy,1838,"Cultra, co. Down",marry,"He had married in 1838 Elizabeth Selina, daughter of Hugh Kennedy of Cultra, co. Down."
105,"Poole was born on 16 August 1885 in Easebourne, Sussex, England, the youngest son of Stanley Lane-Poole, an Egyptologist, and his wife Charlotte.",Charlotte,16 August 1885,Easebourne,give birth,"Poole was born on 16 August 1885 in Easebourne, Sussex, England, the youngest son of Stanley Lane-Poole, an Egyptologist, and his wife Charlotte."
106,"She graduated as cand.sociol. from the University of Oslo in 1994, and worked as a research assistant at the Norwegian Institute for Social Research from 1994 to 1995.In 2005",She,1994,University of Oslo,start position,"She graduated as cand.sociol. from the University of Oslo in 1994, and worked as a research assistant at the Norwegian Institute for Social Research from 1994 to 1995. In 2005"
107,"In 1912, he immigrated to the United States.",he,1912,United States,go to,"In 1912, he moved to the United States."
108,She attended North London Collegiate School from 1909 to 1913.,She,1909,North London Collegiate School,education,She attended North London Collegiate School from 1909 to 1913.
109,"Maude Crabbe was born on 19 December 1855 at sea aboard the ship Morning Star in the Indian Ocean approximately 2,500 kilometers south west of Western Australia.",Maude Crabbe,19 December 1855,Indian Ocean,birth,"Maude Crabbe was born on 19 December 1855 at sea aboard the ship Morning Star in the Indian Ocean approximately 2,500 kilometers south west of Western Australia."
110,"He was drafted by the Philadelphia Phillies in the 40th round of the 2012 Major League Baseball draft, but did not sign and instead enrolled at the University of Florida, where he majored in criminology.",he,2012,University of Florida,education,"He was drafted by the Philadelphia Phillies in the 40th round of the 2012 Major League Baseball draft, but did not sign and instead enrolled at the University of Florida, where he majored in criminology."
111,"It is inscribed thus : 
""Here lie interred the heads of Laur Hay : and Andrew Pitulloch, who suffered martyrdom at Edinburgh, July 13th, 1681, for adhering to the word of God, and Scotland""s covenanted work of reformation ; and also one of the hands of David Hackston, of Rathillet, who was most cruelly martyred at Edinburgh, July 30th, 1680. 
Our persecutors filled with rage, 
Their brutish fury to assuage, 
Took heads and hands of martyrs off,  
That they might be the people""s scoff.",Andrew Pitulloch,"July 13th, 1681",Edinburgh,die,"The Philadelphia Phillies drafted him in the 40th round of the 2012 Major League Baseball draft, but he did not sign and instead enrolled at the University of Florida, where he majored in criminology."
